,All_values,Return_to_pred
2217,0111001101001,0.0
2218,1001010011010,0.0
2219,0001010100110,0.0
2220,0011010101001,2.0
2221,0101010101010,3.0
2222,0110110101010,0.0
2223,1000101101010,0.0
2224,0001001011010,2.0
2225,0011010010110,2.0
2226,0100110100101,3.0
2227,0111001101001,4.0
2228,1000110011010,2.0
2229,0000101100110,0.0
2230,0011001011001,4.0
2231,0101010010110,1.0
2232,0110110100101,3.0
2233,1001001101001,4.0
2234,0000110011010,2.0
2235,0010101100110,1.0
2236,0100101011001,0.0
2237,0111001010110,2.0
2238,1001010010101,2.0
2239,0000110100101,4.0
2240,0011001101001,4.0
2241,0100110011010,1.0
2242,1000101100110,4.0
2243,0000101011001,2.0
2244,0010101010110,4.0
2245,0101001010101,3.0
2246,0110110010101,4.0
2247,1000101100101,4.0
2248,0000101011001,0.0
2249,0010101010110,1.0
2250,0101001010101,1.0
2251,0111010010101,4.0
2252,1001010100101,1.0
2253,0000110101001,0.0
2254,0011001101010,4.0
2255,0101010011010,0.0
2256,0110110100110,1.0
2257,1000101101001,3.0
2258,0001001011010,4.0
2259,0010110010110,2.0
2260,0100101100101,4.0
2261,0110101011001,0.0
2262,0000101010110,0.0
2263,0011001010101,2.0
2264,0101010010101,2.0
2265,0110110100101,1.0
2266,0001001101001,4.0
2267,0011010011010,0.0
2268,0100110100110,3.0
2269,0111001101001,1.0
2270,1000110011010,1.0
2271,0001001100110,2.0
2272,0011010011001,4.0
2273,0100110100110,3.0
2274,0110101101001,1.0
2275,1000101011010,3.0
2276,0011001010110,3.0
2277,0100110010101,0.0
2278,0110101100101,0.0
2279,1001001011001,2.0
2280,0001010010110,0.0
2281,0011010100101,0.0
2282,0101010101001,4.0
2283,0111010101010,4.0
2284,1000110101010,4.0
2285,0000101101010,4.0
2286,0010101011010,0.0
2287,0100101010110,0.0
2288,0111001010101,4.0
2289,1001010010101,2.0
2290,0000110100101,4.0
2291,0010101101001,1.0
2292,0100101011010,2.0
2293,0111001010110,4.0
2294,1000110010101,3.0
2295,0010101100101,1.0
2296,0101001011001,1.0
2297,0111010010110,3.0
2298,1000110100101,3.0
2299,0000101101001,2.0
2300,0010101011010,3.0
2301,0100101010110,1.0
2302,0110101010101,4.0
2303,1000101010101,4.0
2304,0000101010101,2.0
2305,0010101010101,1.0
2306,0101001010101,1.0
2307,0111010010101,3.0
2308,1001010100101,1.0
2309,0000110101001,4.0
2310,0011001101010,3.0
2311,0100110011010,1.0
2312,0110101100110,3.0
2313,1001001011001,2.0
2314,0001010010110,1.0
2315,0010110100101,1.0
2316,0101001101001,1.0
2317,0111010011010,0.0
2318,1001010100110,3.0
2319,0000110101001,3.0
2320,0010101101010,2.0
2321,0100101011010,2.0
2322,0110101010110,2.0
2323,1001001010101,2.0
2324,0001010010101,1.0
2325,0011010100101,3.0
2326,0101010101001,2.0
2327,0110110101010,0.0
2328,0000101101010,2.0
2329,0011001011010,0.0
2330,0101010010110,4.0
2331,0111010100101,0.0
2332,1001010101001,4.0
2333,0001010101010,1.0
2334,0010110101010,2.0
